书院：明德　专业：工业设计

大一9月　【占位】军训第一天，站军姿站到腿发抖。
大一10月　你加入了学生会，成为一名干事。
大一11月　你收到一条社团群的通知，看了一眼就划走了。
大一12月　你接了一份家教的兼职。
大一1月　【占位】期末考试，你连熬三个通宵。
大一2月　【占位】寒假没回家，你每天泡在图书馆。
大一3月　你在自习室认识了一个新同学。
大一4月　TA 委婉地拒绝了你。
大一5月　你在教学楼门口被塞了一张传单。
大一6月　【占位】期末周，图书馆的位置比宿舍床还难抢。
大一7月　【占位】暑假留校，你在实验室泡了一个月。
大一8月　【占位】暑假留校，你带队参加了数学建模竞赛。
大二9月　你收到一条社团群的通知，看了一眼就划走了。
大二10月　你的耳机在自习室丢了。
大二11月　你路过篮球场，被拉去凑人数。
大二12月　你路过篮球场，被拉去凑人数。
大二1月　这个月没什么特别的事。
大二2月　【占位】寒假留校，你报名了竞赛集训营。
大二3月　你在食堂碰到了高中同学。
大二4月　你接了一份家教的兼职。
大二5月　你和室友通宵打了一晚上游戏。
大二6月　这个月没什么特别的事。
大二7月　【占位】暑假的图书馆空荡荡的，你一个人占了一张大桌子。
大二8月　这个月没什么特别的事。
大三9月　你翘了一节课，在宿舍补了个觉。
大三10月　宿舍夜聊，聊到凌晨两点才睡。
大三11月　你收到一条社团群的通知，看了一眼就划走了。
大三12月　宿舍卫生检查，你们拿了满分。
大三1月　这个月没什么特别的事。
大三2月　【占位】寒假留校，你在实验室里过完了整个春节。
大三3月　你收到一条社团群的通知，看了一眼就划走了。
大三4月　你早上洗了头，出门感觉不错。
大三5月　你把这周的课表抄在了便签上。
大三6月　这个月没什么特别的事。
大三7月　这个月没什么特别的事。
大三8月　这个月没什么特别的事。
大四9月　宿舍夜聊，聊到凌晨两点才睡。
大四10月　室友拉你一起打球。
大四11月　你早上洗了头，出门感觉不错。
大四12月　你在实验室帮师兄打了一天杂。
大四1月　这个月没什么特别的事。
大四2月　这个月没什么特别的事。
大四3月　【占位】实习期加班到末班车，你开始怀疑人生。
大四4月　【占位】大四实习第一天，你被安排去整理表格。
大四5月　这个月没什么特别的事。
大四6月　【占位】毕业论文答辩，你在台上讲得满头大汗。
大四7月　这个月没什么特别的事。
大四8月　这个月没什么特别的事。

结局：【占位】保研本校
