书院：明德　专业：会计学

大一9月　你是一名男生，是北理工的大一新生。
大一9月　【占位】军训第一天，站军姿站到腿发抖。
大一10月　你在食堂碰到了高中同学。
大一11月　你在教学楼门口被塞了一张传单。
大一12月　你路过篮球场，被拉去凑人数。
大一1月　【占位】期末周，图书馆的位置比宿舍床还难抢。
大一2月　【占位】假期里作息彻底调乱，白天睡晚上醒。
大一3月　TA 委婉地拒绝了你。
大一4月　你在自习室认识了一个新同学。
大一5月　你路过篮球场，被拉去凑人数。
大一6月　【占位】期末考试，你连熬三个通宵。
大一7月　【占位】暑假留校，你在实验室泡了一个月。
大一8月　【占位】暑假的图书馆空荡荡的，你一个人占了一张大桌子。
大二9月　你路过篮球场，被拉去凑人数。
大二10月　你在食堂碰到了高中同学。
大二11月　你在宿舍阳台上站了会儿，看了看天。
大二12月　室友拉你去操场夜跑。
大二1月　这个月没什么特别的事。
大二2月　【占位】寒假留校，你报名了竞赛集训营。
大二3月　你接了一份家教的兼职。
大二4月　你被雨淋了一路回到宿舍。
大二5月　室友拉你一起打球。
大二6月　这个月没什么特别的事。
大二7月　【占位】暑假留校，你带队参加了数学建模竞赛。
大二8月　这个月没什么特别的事。
大三9月　你的快递被放到了最远的那个驿站。
大三10月　图书馆四楼靠窗的位置被你占了一下午。
大三11月　你路过篮球场，被拉去凑人数。
大三12月　室友拉你去操场夜跑。
大三1月　这个月没什么特别的事。
大三2月　【占位】寒假留校，你在实验室里过完了整个春节。
大三3月　你把手机落在了教室，跑回去拿。
大三4月　宿舍卫生检查，你们拿了满分。
大三5月　早八的课你差点睡过头，一路狂奔到教室。
大三6月　这个月没什么特别的事。
大三7月　这个月没什么特别的事。
大三8月　这个月没什么特别的事。
大四9月　你把闲置的旧书挂到网上卖掉了。
大四10月　你和室友通宵打了一晚上游戏。
大四11月　你把闲置的旧书挂到网上卖掉了。
大四12月　你加入了学生会，成为一名干事。
大四1月　这个月没什么特别的事。
大四2月　【占位】寒假回家，家里给你塞了两千块。
大四3月　【占位】大四实习第一天，你被安排去整理表格。
大四4月　【占位】实习期加班到末班车，你开始怀疑人生。
大四5月　这个月没什么特别的事。
大四6月　【占位】毕业论文答辩，你在台上讲得满头大汗。
大四7月　这个月没什么特别的事。
大四8月　这个月没什么特别的事。

结局：【占位】保研本校
